MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,prediction
6.91356,23.0,6.296747967479675,1.1016260162601625,1486.0,5.1345528455284555,34.2,-118.62,3.170691361671817
4.98,11.0,5.500932835820896,1.0615671641791045,2728.0,4.326119402985074,35.62,-117.66,1.1797239390152567
8.57964,21.0,6.755244755244755,0.9300699300699301,860.0,5.111888111888112,33.61,-117.66,3.4841745367317194
4.11744,52.0,6.359908883826879,1.0501138952164009,1177.0,4.557858769931663,33.99,-118.03,2.1769720511243364
1.8031199999999998,10.0,3.326642335766423,1.0766423357664234,2176.0,6.75036496350365,33.75,-117.88,1.6222633990250215
5.8909199999999995,9.0,5.243243243243243,1.137214137214137,1591.0,5.623076923076923,37.39,-121.87,2.6819716296820877
4.41564,20.0,5.348017621145375,1.0418502202643172,1145.0,4.287444933920705,36.97,-122.05,2.294861753188327
5.25,15.0,5.373626373626373,1.0274725274725274,407.0,3.8016483516483515,34.86,-120.41,1.4811720069409606
3.09996,35.0,4.472906403940887,1.1133004926108374,667.0,5.585714285714285,34.1,-117.46,0.9592521948211616
5.10768,25.0,5.592105263157895,1.0855263157894737,4528.0,7.234586466165413,33.79,-117.81,2.072754272523683
12.08484,22.0,7.906818181818182,1.018181818181818,1252.0,4.837272727272727,32.85,-117.24,4.56890510886523
3.84672,7.0,5.564485981308411,1.0009345794392523,3567.0,5.667196261682243,34.12,-117.43,1.2309107874357987
7.235759999999999,23.0,6.874251497005988,1.0658682634730539,902.0,4.591017964071856,38.48,-122.72,3.149411632840978
2.14284,41.0,4.847184986595174,1.1662198391420913,1005.0,4.580428954423592,35.41,-119.03,0.43692327096349864
3.0953999999999997,42.0,3.933333333333333,1.1333333333333333,54.0,3.06,38.03,-122.14,1.2135375035759814
4.256279999999999,28.0,5.863013698630137,1.2100456621004567,628.0,4.874885844748858,38.02,-122.93,2.7220919794075504
5.0562,36.0,5.886363636363637,1.0340909090909092,974.0,6.2719696969696965,33.87,-118.2,1.886148963989822
2.60184,35.0,5.26,1.0075,1060.0,4.505,38.76,-120.67,1.1622063225440356
7.145639999999999,18.0,6.5473251028806585,1.102880658436214,547.0,3.8267489711934157,32.95,-117.24,3.3447710259654975
3.83772,24.0,4.197947214076247,1.0762463343108504,1583.0,3.945894428152493,38.11,-122.57,1.885942795128936
